School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
SULLIVAN BOCES,BOCES School,Sullivan,BOCES No District Name,LIBERTY,12754,6 WIERK AVE,NA,NA,No,No,41.705166, -74.711705,41861,77547,57780,6349,1033,10554
HAMBURG SHS,Public School,Erie,HAMBURG CENTRAL SCHOOL,HAMBURG,14075,LEGION DR,98,6,No,Yes,42.888143, -78.795544,63478,919040,714156,119916,23621,41731
LYONS ELEMENTARY SCHOOL,Public School,Wayne,LYONS CENTRAL SCHOOL,LYONS,14489,98 WILLIAMS ST,27,2,No,Yes,43.144336, -77.117995,42088,93772,85318,2743,465,3476
OAK ORCHARD SCHOOL,Public School,Orleans,MEDINA CENTRAL SCHOOL,MEDINA,14103,W OAK ORCHARD ST,110,5,No,Yes,43.248394, -78.218438,43391,42883,37658,2368,173,1757
BRADLEY ELEMENTARY SCHOOL,Public School,Oneida,NEW HARTFORD CENTRAL SCHOOL,NEW HARTFORD,13413,OXFORD RD,97,0,No,No,43.149482, -75.361773,64146,234878,199254,13682,6522,10819
COLDEN ES,Public School,Erie,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,COLDEN,14033,COLDEN ES,55,6,No,Yes,42.888143, -78.795544,78750,919040,714156,119916,23621,41731
WELLS SCHOOL,Public School,Hamilton,WELLS CENTRAL SCHOOL,WELLS,12190,ROUTE 30,44,11,No,Yes,43.618468, -74.395268,47375,4836,4664,33,24,51
X085,Public School,Bronx,NYC DOE,Bronx,10458,2400 MARION AVENUE,78,0,No,No,40.858689, -73.894682,24478,1385108,151209,416695,47335,741413
CANDOR J S H S,Public School,Tioga,CANDOR CENTRAL SCHOOL,CANDOR,13743,CANDOR J S H S,116,0,No,No,42.120252, -76.29595,54944,51125,49105,349,371,694
SCHOOL  7,Public School,Chautauqua,DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK,14048,348 LAKE SHORE DR E,28,1,No,Yes,42.246904, -79.315313,40121,134905,120463,2763,676,8241
UNION VALE MIDDLE SCHOOL,Public School,Dutchess,ARLINGTON CENTRAL SCHOOL DISTRICT,LAGRANGEVILLE,12540,1657 E NOXON RD,150,45,No,Yes,41.686216, -73.840468,98311,297488,221812,27395,10330,31267
